운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,급속충전량,비고,주소2
제주특별자치도,인제공영주차장,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 고마로19길 5(일도이동 409-11),24시간 이용가능,제한없음,,,고마로19길 5(일도이동 409-11)
제주특별자치도,일과1리복지회관,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 암반수마농로55번길 34(186 일과1리복지회관),24시간 이용가능,제한없음,,, 대정읍 암반수마농로55번길 34(186 일과1리복지회관)
제주특별자치도,일도1동주민센터,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 중앙로7길 15,24시간 이용가능,제한없음,,,중앙로7길 15
제주특별자치도,일도2동주민센터,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 고마로 28,24시간 이용가능,제한없음,,,고마로 28
제주특별자치도,일도대림1차아파트,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 태성로 31101동 경비실 옆,24시간 이용가능,제한없음,,,태성로 31101동 경비실 옆
제주특별자치도,일도삼주아파트,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 천수로 18,24시간 이용가능,제한없음,,,천수로 18
제주특별자치도,자광원,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 이어도로 343번길 101(대포동 1146-1),24시간 이용가능,제한없음,,, 이어도로 343번길 101(대포동 1146-1)
제주특별자치도,자치경찰단 서귀포지역대청사,1,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 부두로 1(서귀동),24시간 이용가능,제한없음,,, 부두로 1(서귀동)
제주특별자치도,자치경찰단 서귀포지역대청사,2,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 부두로 1(서귀동),24시간 이용가능,제한없음,,, 부두로 1(서귀동)
제주특별자치도,자치경찰단 아라청사,5,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 기자길 7(아라이동),24시간 이용가능,제한없음,,,기자길 7(아라이동)
제주특별자치도,자치경찰단 아라청사,6,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 기자길 7(아라이동),24시간 이용가능,제한없음,,,기자길 7(아라이동)
제주특별자치도,장전마을회관,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 장전로 106(448-2 장전리사무소),24시간 이용가능,제한없음,,,애월읍 장전로 106(448-2 장전리사무소)
제주특별자치도,정방동공영주차장,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서귀동 403-3,24시간 이용가능,제한없음,,, 서귀동 403-3
제주특별자치도,정방동공영주차장,2,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서귀동 403-3,24시간 이용가능,제한없음,,, 서귀동 403-3
제주특별자치도,정방동공영주차장,3,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서귀동 403-3,24시간 이용가능,제한없음,,, 서귀동 403-3
제주특별자치도,정방동문화의집,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 동부로12번길 11(서귀동 120-1),24시간 이용가능,제한없음,,, 동부로12번길 11(서귀동 120-1)
제주특별자치도,정방동주민센터,1,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 태평로421번길 7(서귀동),24시간 이용가능,제한없음,,, 태평로421번길 7(서귀동)
제주특별자치도,정존공영주차장,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정존공영주차장,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정존공영주차장,3,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정존공영주차장,4,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정존공영주차장,5,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정존공영주차장,6,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 수덕5길 34(노형동 2612-2),24시간 이용가능,제한없음,,,수덕5길 34(노형동 2612-2)
제주특별자치도,정혜재활원,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 인정오름로85번길 41,24시간 이용가능,제한없음,,, 인정오름로85번길 41
제주특별자치도,제주4·3평화공원,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 명림로 430제주4.3평화기념관(봉개동 237-2),24시간 이용가능,제한없음,,,명림로 430제주4.3평화기념관(봉개동 237-2)
제주특별자치도,제주공천포전지훈련센터,1,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 신례로 96(신례리 544-2),24시간 이용가능,제한없음,,, 남원읍 신례로 96(신례리 544-2)
